CC(C)C	3.26e+02	5.00e+01	-17.1	-20.158401489257812
CC(C)C	1.38e+02	1.00e+02	-26.75	-31.36887550354004
CC(C)C	1.65e+02	1.00e+02	-25.31	-29.323379516601562
CC(C)C	1.92e+02	1.00e+02	-23.92	-27.545337677001953
CC(C)C	2.19e+02	1.00e+02	-22.63	-25.782859802246094
CC(C)C	2.45e+02	1.00e+02	-21.39	-24.01568031311035
CC(C)C	2.72e+02	1.00e+02	-20.11	-22.745952606201172
CC(C)C	2.99e+02	1.00e+02	-18.88	-21.489299774169922
CC(C)C	3.26e+02	1.00e+02	-17.61	-20.273574829101562
CC(C)C	1.38e+02	2.50e+02	-26.95	-31.901769638061523
CC(C)C	1.65e+02	2.50e+02	-25.58	-29.848724365234375
CC(C)C	1.92e+02	2.50e+02	-24.24	-28.06642723083496
CC(C)C	2.19e+02	2.50e+02	-23.04	-26.302331924438477
CC(C)C	2.45e+02	2.50e+02	-21.91	-24.596309661865234
CC(C)C	2.72e+02	2.50e+02	-20.77	-23.329736709594727
CC(C)C	2.99e+02	2.50e+02	-19.68	-22.074373245239258
CC(C)C	3.26e+02	2.50e+02	-18.53	-20.782926559448242
CC(C)C	1.38e+02	5.00e+02	-27.28	-32.78995895385742
CC(C)C	1.65e+02	5.00e+02	-26.0	-30.72511863708496
CC(C)C	1.92e+02	5.00e+02	-24.79	-28.92967987060547
CC(C)C	2.19e+02	5.00e+02	-23.66	-27.168920516967773
CC(C)C	2.45e+02	5.00e+02	-22.62	-25.565746307373047
CC(C)C	2.72e+02	5.00e+02	-21.58	-24.303268432617188
CC(C)C	2.99e+02	5.00e+02	-20.62	-23.049943923950195
CC(C)C	3.26e+02	5.00e+02	-19.71	-21.80258560180664
CC(C)C	1.38e+02	7.50e+02	-27.57	-33.67818832397461
CC(C)C	1.65e+02	7.50e+02	-26.34	-31.602684020996094
CC(C)C	1.92e+02	7.50e+02	-25.23	-29.79417610168457
CC(C)C	2.19e+02	7.50e+02	-24.14	-28.02292823791504
CC(C)C	2.45e+02	7.50e+02	-23.18	-26.536746978759766
CC(C)C	2.72e+02	7.50e+02	-22.23	-25.277454376220703
CC(C)C	2.99e+02	7.50e+02	-21.35	-24.026046752929688
CC(C)C	3.26e+02	7.50e+02	-20.49	-22.78023338317871
CC(C)C	1.38e+02	1.00e+03	-27.8	-34.56645202636719
CC(C)C	1.65e+02	1.00e+03	-26.62	-32.481624603271484
CC(C)C	1.92e+02	1.00e+03	-25.57	-30.659852981567383
CC(C)C	2.19e+02	1.00e+03	-24.55	-28.898630142211914
CC(C)C	2.45e+02	1.00e+03	-23.65	-27.508901596069336
CC(C)C	2.72e+02	1.00e+03	-22.79	-26.252254486083984
CC(C)C	2.99e+02	1.00e+03	-21.91	-25.002649307250977
CC(C)C	3.26e+02	1.00e+03	-21.18	-23.758275985717773
CCCCC	3.76e+02	1.00e+00	-19.51	-22.136783599853516
CCCCC	3.76e+02	5.00e+01	-20.22	-22.501113891601562
CCCCC	1.68e+02	1.00e+03	-33.67	-37.21163558959961
CC(C)(C)C	3.28e+02	1.00e+00	-19.45	-21.586624145507812
CC(C)(C)C	3.38e+02	1.00e+00	-18.85	-21.259342193603516
CC(C)(C)C	3.47e+02	1.00e+00	-18.27	-20.97182273864746
CC(C)(C)C	3.38e+02	5.00e+01	-19.45	-21.601898193359375
CC(C)(C)C	3.47e+02	5.00e+01	-18.89	-21.3099308013916
CC(C)(C)C	3.38e+02	1.00e+02	-19.95	-21.95555877685547
CC(C)(C)C	3.47e+02	1.00e+02	-19.39	-21.656002044677734
C1CCCOCO1	2.57e+02	1.00e+00	-40.12	-45.355594635009766
C1CCCOCO1	2.87e+02	1.00e+00	-37.93	-43.16992950439453
C1CCCOCO1	3.17e+02	1.00e+00	-35.74	-40.97628402709961
C1CCCOCO1	3.47e+02	1.00e+00	-33.7	-38.834903717041016
C1CCCOCO1	3.77e+02	1.00e+00	-31.62	-37.13752746582031
