CCCC	3.40e+02	1.00e+00	0.5018	0.5552080273628235
CC(C)C	3.26e+02	1.00e+00	0.5202	0.5801408290863037
CC(C)C	3.26e+02	5.00e+01	0.5327	0.5875582695007324
CC1COCC(O1)C	4.96e+02	1.00e+00	0.6207	0.6965925693511963
CCOCOCOCC	4.89e+02	1.00e+00	0.6087	0.6709564924240112
CCOC(OCC)(OCC)OCC	5.07e+02	1.00e+00	0.5966	0.6761853694915771
CCCOC(OCCC)(OCCC)OCCC	5.72e+02	1.00e+00	0.5595	0.6264917850494385
O=C1CCCCO1	5.67e+02	1.00e+00	0.6803	0.757523775100708
C=CC=C	3.18e+02	1.00e+00	0.5889	0.649896502494812
C=CC=C	3.40e+02	1.00e+00	0.5555	0.6279352903366089
C=CC=C	3.40e+02	5.00e+01	0.5675	0.6341941356658936
C=CC=C	3.40e+02	1.00e+02	0.5794	0.6407644748687744
CCC=C	3.36e+02	1.00e+00	0.5296	0.5844558477401733
C/C=C/C	3.43e+02	1.00e+00	0.5243	0.5779026746749878
CC#CC	3.91e+02	1.00e+00	0.5463	0.6030158996582031
CO/C=C\OC	4.25e+02	1.00e+00	0.8212	0.738271951675415
Cc1cnccc1C	5.81e+02	1.00e+00	0.5736	0.6353837251663208
ClC(=C)C(=C)Cl	4.83e+02	1.00e+00	0.8067	0.9160929322242737
ClC(=C)C(=C)Cl	4.83e+02	5.00e+01	0.845	0.9298561215400696
CCCC(F)F	3.88e+02	1.00e+00	0.6931	0.7758575677871704
CC(C(Cl)F)C	4.62e+02	5.00e+01	0.7134	0.7879464626312256
FCOC(F)(F)F	3.39e+02	1.00e+00	1.064	1.2054606676101685
CCCCC(F)F	4.19e+02	1.00e+00	0.6737	0.744138777256012
FC(OC(OC(F)F)(F)F)F	3.91e+02	1.00e+00	1.173	1.3063371181488037
c1ccc2c(cc1)ccc2	6.14e+02	1.00e+00	0.8599	0.7658164501190186
c1ccc2c(cc1)ccc2	6.50e+02	1.00e+00	0.8231	0.7280452251434326
c1ccc2c(cc1)ccc2	6.14e+02	5.00e+01	0.8667	0.7768754363059998
c1ccc2c(cc1)ccc2	6.50e+02	5.00e+01	0.8368	0.7397459745407104
c1ccc2c(cc1)ccc2	6.50e+02	1.00e+02	0.8423	0.7514098882675171
FCCF	3.85e+02	5.00e+01	0.7536	0.8330267071723938
CC(Cl)Cl	4.45e+02	1.00e+00	0.8419	0.9373898506164551
CC(Br)Cl	4.76e+02	1.00e+00	1.147	1.2647771835327148
CCC(Cl)Cl	4.75e+02	1.00e+00	0.7805	0.8677574992179871
CCC(F)F	3.52e+02	1.00e+00	0.723	0.8098505139350891
C=CC(=C)Cl	4.39e+02	1.00e+00	0.6569	0.7350869178771973
